TransactionID,CustomerID,ProductID,ProductCategory,Quantity,UnitPrice,TransactionDate,Country,PaymentMethod,Revenue
TXN_010079,CUST_1169,P_HOME_007,Home & Kitchen,4,360.44,2024-01-01 08:01:00,United States,PayPal,1441.76
TXN_025969,CUST_2240,P_HOME_024,Home & Kitchen,2,213.9,2024-01-01 08:26:00,United States,Net Banking,427.8
TXN_031633,CUST_1620,P_BEAU_004,Beauty & Personal Care,3,63.02,2024-01-01 08:41:00,Germany,PayPal,189.06
TXN_011609,CUST_1879,P_APP_034,Apparel,3,57.88,2024-01-01 08:52:00,United States,Credit Card,173.64
TXN_028627,CUST_2266,P_HOME_011,Home & Kitchen,3,167.93,2024-01-01 08:54:00,United States,Credit Card,503.79
TXN_027186,CUST_1166,P_ELEC_030,Electronics,3,1475.54,2024-01-01 08:57:00,Canada,Credit Card,4426.62
TXN_007932,CUST_2109,P_ELEC_006,Electronics,1,133.99,2024-01-01 09:04:00,Germany,Credit Card,133.99
TXN_003476,CUST_1223,P_HOME_005,Home & Kitchen,2,272.25,2024-01-01 09:12:00,United States,PayPal,544.5
TXN_027687,CUST_1045,P_BEAU_006,Beauty & Personal Care,3,81.95,2024-01-01 09:36:00,United States,PayPal,245.85
TXN_017640,CUST_1460,P_BEAU_007,Beauty & Personal Care,3,58.5,2024-01-01 09:39:00,United States,Credit Card,175.5
TXN_021022,CUST_1273,P_APP_013,Apparel,2,58.77,2024-01-01 09:50:00,India,PayPal,117.54
TXN_027712,CUST_2353,P_HOME_019,Home & Kitchen,2,336.55,2024-01-01 09:58:00,United Kingdom,PayPal,673.1
TXN_026372,CUST_1384,P_SPRT_013,Sports & Outdoors,1,126.23,2024-01-01 10:17:00,India,Credit Card,126.23
TXN_018148,CUST_2455,P_ELEC_005,Electronics,1,97.47,2024-01-01 10:19:00,United States,PayPal,97.47
TXN_009872,CUST_1650,P_BEAU_010,Beauty & Personal Care,1,81.86,2024-01-01 10:24:00,United Kingdom,PayPal,81.86
TXN_037305,CUST_1762,P_ELEC_019,Electronics,1,1166.14,2024-01-01 10:52:00,United States,Credit Card,1166.14
TXN_025759,CUST_2354,P_SPRT_015,Sports & Outdoors,2,238.96,2024-01-01 11:08:00,Germany,PayPal,477.92
TXN_018244,CUST_1229,P_APP_029,Apparel,2,48.38,2024-01-01 11:13:00,India,Debit Card,96.76
TXN_046086,CUST_2452,P_HOME_007,Home & Kitchen,2,361.82,2024-01-01 11:14:00,Germany,UPI,723.64
TXN_001572,CUST_1867,P_ELEC_002,Electronics,3,1422.01,2024-01-01 11:19:00,United States,UPI,4266.03
TXN_005590,CUST_2497,P_ELEC_011,Electronics,1,318.54,2024-01-01 11:33:00,Germany,Credit Card,318.54
TXN_011989,CUST_2407,P_BEAU_013,Beauty & Personal Care,6,85.4,2024-01-01 11:41:00,Canada,Net Banking,512.4
TXN_033373,CUST_1632,P_SPRT_019,Sports & Outdoors,4,317.81,2024-01-01 11:45:00,India,Credit Card,1271.24
TXN_049193,CUST_2150,P_ELEC_022,Electronics,3,129.09,2024-01-01 11:49:00,India,UPI,387.27
TXN_023032,CUST_1328,P_SPRT_011,Sports & Outdoors,1,167.85,2024-01-01 12:05:00,Germany,PayPal,167.85
TXN_047030,CUST_1952,P_BEAU_016,Beauty & Personal Care,5,61.58,2024-01-01 12:14:00,Germany,PayPal,307.9
