Date,ActualRevenue,OrderVolume,UnitsSold,PredictedRevenue,LowerBound,UpperBound,DataType
2024-01-01,59814.93,96.0,254.0,59814.93,59814.93,59814.93,Historical
2024-01-02,58939.66,108.0,290.0,58939.66,58939.66,58939.66,Historical
2024-01-03,80364.67,114.0,299.0,80364.67,80364.67,80364.67,Historical
2024-01-04,59453.57,117.0,346.0,59453.57,59453.57,59453.57,Historical
2024-01-05,63838.53,131.0,362.0,63838.53,63838.53,63838.53,Historical
2024-01-06,78041.9,104.0,293.0,78041.9,78041.9,78041.9,Historical
2024-01-07,85404.47,148.0,390.0,85404.47,85404.47,85404.47,Historical
2024-01-08,57596.9,113.0,310.0,57596.9,57596.9,57596.9,Historical
2024-01-09,65970.82,108.0,294.0,65970.82,65970.82,65970.82,Historical
2024-01-10,81336.55,130.0,347.0,81336.55,81336.55,81336.55,Historical
2024-01-11,80963.4,119.0,319.0,80963.4,80963.4,80963.4,Historical
2024-01-12,85473.22,107.0,272.0,85473.22,85473.22,85473.22,Historical
2024-01-13,76156.09999999999,121.0,341.0,76156.09999999999,76156.09999999999,76156.09999999999,Historical
2024-01-14,79684.08,118.0,312.0,79684.08,79684.08,79684.08,Historical
2024-01-15,62800.91,111.0,302.0,62800.91,62800.91,62800.91,Historical
2024-01-16,66718.26,114.0,305.0,66718.26,66718.26,66718.26,Historical
2024-01-17,70444.38,112.0,291.0,70444.38,70444.38,70444.38,Historical
2024-01-18,91930.49,121.0,325.0,91930.49,91930.49,91930.49,Historical
2024-01-19,71961.64,144.0,395.0,71961.64,71961.64,71961.64,Historical
2024-01-20,74660.04,116.0,318.0,74660.04,74660.04,74660.04,Historical
2024-01-21,58697.99,119.0,349.0,58697.99,58697.99,58697.99,Historical
2024-01-22,72943.03,128.0,367.0,72943.03,72943.03,72943.03,Historical
2024-01-23,68080.55,116.0,334.0,68080.55,68080.55,68080.55,Historical
2024-01-24,72427.49,128.0,340.0,72427.49,72427.49,72427.49,Historical
2024-01-25,48629.33,114.0,310.0,48629.33,48629.33,48629.33,Historical
