CustomerID,LastPurchaseDate,FirstPurchaseDate,Frequency,Monetary,TotalProducts,UniqueCategories,PrimaryCategory,PreferredPaymentMethod,Country,Recency,AvgOrderValue,CustomerTenureDays,AvgDaysBetweenOrders
CUST_1001,2025-05-22 22:45:00,2024-01-08 16:32:00,32,17585.62,81,6,Electronics,Credit Card,United States,40,549.55,540,16.1
CUST_1002,2025-06-28 15:16:00,2024-02-02 16:00:00,26,14887.42,66,6,Beauty & Personal Care,Credit Card,Australia,3,572.59,515,20.5
CUST_1003,2025-06-07 12:12:00,2024-01-03 18:30:00,42,49047.01,148,6,Electronics,Credit Card,Germany,24,1167.79,545,12.7
CUST_1004,2025-06-25 18:50:00,2024-01-14 21:41:00,32,13461.36,85,6,Apparel,Credit Card,United Kingdom,6,420.67,534,17.0
CUST_1005,2025-06-14 21:01:00,2024-01-05 08:47:00,43,27040.18,119,6,Home & Kitchen,Credit Card,United States,17,628.84,543,12.5
CUST_1006,2025-06-06 12:50:00,2024-01-28 14:11:00,33,18610.21,89,6,Apparel,Credit Card,United States,25,563.95,520,15.5
CUST_1007,2025-06-26 09:12:00,2024-01-01 21:40:00,46,21089.92,108,6,Apparel,Credit Card,United States,5,458.48,547,12.0
CUST_1008,2025-06-24 21:34:00,2024-01-11 09:37:00,51,26971.34,127,6,Apparel,Credit Card,India,7,528.85,537,10.6
CUST_1009,2025-06-27 19:03:00,2024-03-07 14:47:00,32,13993.18,78,6,Apparel,PayPal,Germany,4,437.29,481,15.4
CUST_1010,2025-06-26 13:21:00,2024-01-01 12:25:00,39,20449.04,107,6,Apparel,Credit Card,Germany,5,524.33,547,14.3
CUST_1011,2025-06-14 16:14:00,2024-01-04 22:00:00,35,18657.3,90,6,Electronics,Credit Card,United States,17,533.07,544,15.5
CUST_1012,2025-06-18 12:32:00,2024-01-08 17:33:00,33,17325.68,95,6,Apparel,Credit Card,Australia,13,525.02,540,16.5
CUST_1013,2024-06-29 18:26:00,2024-01-08 12:04:00,27,18457.1,74,6,Electronics,Credit Card,Canada,367,683.6,540,6.7
CUST_1014,2025-06-15 12:47:00,2024-01-02 09:11:00,36,28156.99,120,6,Apparel,Credit Card,United States,16,782.14,546,15.1
CUST_1015,2025-06-04 08:13:00,2024-02-03 18:43:00,29,17770.9,85,6,Apparel,Credit Card,United States,27,612.79,514,17.4
CUST_1016,2025-06-25 22:01:00,2024-01-05 15:43:00,38,35861.16,148,6,Apparel,Credit Card,United States,6,943.71,543,14.5
CUST_1017,2025-04-14 13:05:00,2024-01-15 16:54:00,27,11073.27,71,6,Apparel,Credit Card,United States,78,410.12,533,17.5
CUST_1018,2024-06-25 22:16:00,2024-01-02 10:40:00,42,19211.34,109,6,Apparel,Credit Card,United Kingdom,371,457.41,546,4.3
CUST_1019,2025-06-24 08:30:00,2024-01-18 16:51:00,27,10686.8,67,6,Apparel,Credit Card,United Kingdom,7,395.81,530,20.1
CUST_1020,2024-06-27 08:21:00,2024-01-11 15:46:00,46,27353.42,109,6,Home & Kitchen,Credit Card,United States,369,594.64,537,3.7
CUST_1021,2025-06-15 16:03:00,2024-01-06 11:40:00,25,25069.26,93,6,Apparel,Credit Card,Germany,16,1002.77,542,21.9
CUST_1022,2024-06-22 13:13:00,2024-01-01 12:53:00,36,25594.65,89,6,Electronics,Credit Card,United States,374,710.96,547,4.9
CUST_1023,2025-06-13 12:21:00,2024-01-31 08:57:00,39,22483.68,103,6,Home & Kitchen,Credit Card,United States,18,576.5,517,13.1
CUST_1024,2025-06-24 14:06:00,2024-01-06 09:47:00,38,15605.5,101,6,Apparel,Credit Card,United States,7,410.67,542,14.5
CUST_1025,2025-06-17 08:26:00,2024-01-03 21:05:00,31,18428.44,75,6,Apparel,Credit Card,United Kingdom,14,594.47,545,17.7
CUST_1026,2025-06-21 16:42:00,2024-01-06 17:00:00,28,14489.84,84,6,Apparel,Credit Card,Canada,10,517.49,542,19.7
CUST_1027,2025-06-29 16:22:00,2024-01-24 08:30:00,37,16509.5,92,6,Apparel,Credit Card,United States,2,446.2,524,14.5
CUST_1028,2025-05-26 19:29:00,2024-01-09 13:37:00,38,21358.13,96,6,Apparel,Credit Card,United Kingdom,36,562.06,539,13.6
CUST_1029,2025-06-02 10:44:00,2024-01-05 14:30:00,37,26122.56,93,6,Home & Kitchen,Credit Card,United Kingdom,29,706.02,543,14.3
CUST_1030,2025-06-25 16:57:00,2024-01-15 13:47:00,38,24468.55,89,6,Electronics,Credit Card,United States,6,643.91,533,14.2
CUST_1031,2025-06-01 15:59:00,2024-01-30 14:29:00,29,12021.91,73,6,Apparel,Credit Card,Germany,30,414.55,518,17.4
CUST_1032,2025-06-25 14:16:00,2024-01-01 14:04:00,25,10832.11,64,6,Apparel,Credit Card,United States,6,433.28,547,22.5
CUST_1033,2025-06-06 10:13:00,2024-01-18 17:45:00,32,18309.54,74,6,Home & Kitchen,Credit Card,United States,25,572.17,530,16.3
CUST_1034,2025-05-30 15:17:00,2024-01-04 18:32:00,43,27184.25,102,6,Apparel,Credit Card,India,32,632.19,544,12.2
CUST_1035,2025-06-26 19:17:00,2024-01-05 12:23:00,35,23847.42,87,5,Apparel,Credit Card,Australia,5,681.35,543,15.8
CUST_1036,2025-05-23 19:25:00,2024-01-18 17:04:00,23,8965.48,59,6,Apparel,Credit Card,Canada,39,389.8,530,22.3
CUST_1037,2025-05-30 11:54:00,2024-01-05 22:29:00,24,11825.11,66,6,Apparel,Credit Card,United States,32,492.71,543,22.2
CUST_1038,2025-05-11 19:04:00,2024-01-06 15:52:00,30,17720.22,76,6,Apparel,Credit Card,United States,51,590.67,542,16.9
CUST_1039,2025-06-19 18:20:00,2024-01-11 08:47:00,42,27707.43,123,6,Apparel,Credit Card,Germany,12,659.7,537,12.8
CUST_1040,2025-06-20 08:23:00,2024-01-20 11:42:00,29,14904.39,66,6,Electronics,Credit Card,United Kingdom,11,513.94,528,18.5
CUST_1041,2025-06-13 14:46:00,2024-01-16 21:04:00,33,25477.12,80,6,Electronics,Credit Card,United States,18,772.03,532,16.1
CUST_1042,2025-06-12 13:12:00,2024-01-10 15:58:00,29,27287.18,77,6,Electronics,Credit Card,United Kingdom,19,940.94,538,18.5
CUST_1043,2025-06-30 15:26:00,2024-03-07 15:51:00,31,14959.05,88,6,Apparel,Credit Card,United States,1,482.55,481,16.0
CUST_1044,2025-06-25 10:29:00,2024-01-21 21:29:00,27,13779.37,61,6,Beauty & Personal Care,Credit Card,India,6,510.35,527,20.0
CUST_1045,2024-06-27 22:49:00,2024-01-01 09:36:00,34,19883.11,86,6,Home & Kitchen,Credit Card,United States,369,584.8,547,5.4
